                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,           val/ave_loss,                   mIOU,         train/ave_loss,                 sigma1,                 sigma2,                 lr/pg0,                 lr/pg1,                 lr/pg2,                 lr/pg3
                     93,                0.87239,                0.68789,                 1.6581,                0.86766,                0.84798,                0.91111,                0.69911,                0.87096,                 0.6238,                  1.651,                 0.0077,                0.75729,              0.0037238,                 10.675,               0.084249,              0.0006548,              0.0006548,              0.0006548,              0.0006548
                     94,                0.86443,                0.67227,                 1.6474,                0.88877,                0.84149,                0.91355,                 0.7161,                0.84444,                 0.6127,                 1.6239,                 0.0107,                0.76189,              0.0040614,                 10.675,               0.084249,              0.0006438,              0.0006438,              0.0006438,              0.0006438
                     95,                0.86486,                0.67674,                 1.6497,                0.83615,                0.85116,                0.90505,                0.71107,                0.84962,                0.62758,                 1.6353,                0.01181,                0.75888,              0.0043069,                 10.675,               0.084249,             0.00063279,             0.00063279,             0.00063279,             0.00063279
                     96,                0.86292,                0.66175,                 1.6488,                0.88394,                0.86366,                0.92051,                0.72346,                0.84587,                0.59455,                  1.646,                0.00621,                0.76163,              0.0044597,                 10.675,               0.084249,             0.00062179,             0.00062179,             0.00062179,             0.00062179
                     97,                0.87553,                0.67747,                 1.6594,                0.86362,                0.86216,                0.91596,                0.71628,                0.85419,                0.59754,                 1.6218,                0.00558,                 0.7605,              0.0041713,                 10.675,               0.084249,             0.00061079,             0.00061079,             0.00061079,             0.00061079
                     98,                0.85551,                0.64688,                 1.6414,                 0.8599,                0.85521,                0.91698,                0.71928,                0.84269,                0.60558,                 1.6411,                 0.0097,                0.75822,               0.003919,                 10.675,               0.084249,             0.00059979,             0.00059979,             0.00059979,             0.00059979
                     99,                0.85401,                0.63947,                 1.6307,                0.87016,                0.86459,                0.91939,                 0.7185,                0.84876,                 0.6085,                 1.6164,                0.00975,                0.75244,               0.004029,                 10.675,               0.084249,             0.00058878,             0.00058878,             0.00058878,             0.00058878
                    100,                 0.8503,                 0.6576,                 1.6322,                0.88826,                0.84754,                0.91943,                0.72236,                0.84022,                 0.5924,                 1.6166,                0.00721,                0.76397,              0.0037509,                 10.675,               0.084249,             0.00057778,             0.00057778,             0.00057778,             0.00057778
                    101,                0.85441,                0.66872,                 1.6418,                0.85443,                0.86994,                0.91644,                0.72646,                0.82974,                0.60347,                 1.6167,                0.00674,                0.76662,              0.0056866,                 10.675,               0.084249,             0.00056678,             0.00056678,             0.00056678,             0.00056678
                    102,                0.85128,                0.65967,                 1.6289,                0.88192,                0.85243,                0.91992,                0.72285,                0.84046,                0.58748,                 1.6093,                0.00729,                0.75667,              0.0040051,                 10.675,               0.084249,             0.00055578,             0.00055578,             0.00055578,             0.00055578
