                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,           val/ave_loss,                   mIOU,         train/ave_loss,                 sigma1,                 sigma2,                 lr/pg0,                 lr/pg1,                 lr/pg2,                 lr/pg3
                     58,                 1.2274,                 1.0912,                 1.7869,                0.76269,                0.68795,                0.78417,                0.54886,                    1.1,                0.96376,                 1.6772,                0.01197,                0.70399,              0.0075986,                 10.675,               0.084405,              0.0010399,              0.0010399,              0.0010399,              0.0010399
                     59,                 1.2204,                 1.0753,                   1.76,                0.77887,                0.72392,                 0.8129,                0.57116,                  1.085,                 0.9068,                 1.6507,                0.01269,                0.69218,              0.0083763,                 10.675,               0.084405,              0.0010289,              0.0010289,              0.0010289,              0.0010289
                     60,                 1.2072,                 1.0608,                 1.7505,                0.78879,                0.71808,                0.82142,                0.57448,                 1.1007,                0.88014,                 1.6706,                0.01237,                0.68673,              0.0080426,                 10.675,               0.084405,              0.0010179,              0.0010179,              0.0010179,              0.0010179
                     61,                 1.2042,                 1.0633,                 1.7413,                0.80193,                0.69863,                0.81678,                0.56949,                 1.1049,                0.89238,                 1.6755,                0.01398,                0.69604,              0.0082631,                 10.675,               0.084405,              0.0010069,              0.0010069,              0.0010069,              0.0010069
                     62,                 1.2236,                 1.0602,                 1.7588,                0.78346,                0.71079,                0.82265,                0.56626,                  1.123,                0.92063,                 1.6753,                0.01499,                0.70079,              0.0081972,                 10.675,               0.084405,             0.00099587,             0.00099587,             0.00099587,             0.00099587
                     63,                 1.1987,                 1.0472,                  1.728,                0.78096,                0.71387,                0.81767,                0.57422,                 1.1042,                0.89774,                 1.6651,                0.01234,                0.69836,              0.0072139,                 10.675,               0.084405,             0.00098486,             0.00098486,             0.00098486,             0.00098486
                     64,                 1.1959,                 1.0591,                 1.7319,                 0.7929,                0.72905,                0.82429,                0.58043,                 1.0743,                0.90177,                 1.6329,                0.01128,                0.70539,              0.0070839,                 10.675,               0.084405,             0.00097386,             0.00097386,             0.00097386,             0.00097386
                     65,                 1.1727,                 1.0332,                 1.7119,                0.74002,                 0.7679,                0.83051,                0.59208,                 1.0502,                0.85298,                   1.62,                0.01324,                0.69369,               0.007473,                 10.675,               0.084405,             0.00096286,             0.00096286,             0.00096286,             0.00096286
                     66,                 1.1841,                 1.0282,                 1.7218,                0.74127,                0.75377,                0.82805,                0.58288,                 1.0954,                0.86936,                 1.6367,                0.01301,                0.70443,              0.0076624,                 10.675,               0.084405,             0.00095186,             0.00095186,             0.00095186,             0.00095186
                     67,                 1.1787,                 1.0153,                 1.7124,                0.73456,                0.78576,                0.83641,                0.59524,                 1.0775,                0.85414,                  1.627,                0.01437,                0.70098,              0.0077945,                 10.675,               0.084405,             0.00094085,             0.00094085,             0.00094085,             0.00094085
                     68,                  1.188,                 1.0145,                 1.7132,                0.82138,                0.72939,                0.83723,                0.59159,                 1.0717,                0.86184,                 1.6179,                0.01137,                0.69906,              0.0076867,                 10.675,               0.084405,             0.00092985,             0.00092985,             0.00092985,             0.00092985
                     69,                 1.1913,                 1.0434,                 1.7149,                0.76841,                0.75316,                0.83069,                0.59078,                   1.08,                0.84981,                 1.6215,                0.01257,                0.70306,              0.0069391,                 10.675,               0.084405,             0.00091885,             0.00091885,             0.00091885,             0.00091885
                     70,                 1.1764,                 1.0232,                 1.7033,                0.76464,                0.76533,                0.83406,                0.59926,                 1.0654,                0.84833,                 1.6104,                0.01257,                0.69332,              0.0071336,                 10.675,               0.084405,             0.00090785,             0.00090785,             0.00090785,             0.00090785
                     71,                  1.153,                 0.9945,                 1.6848,                 0.7746,                0.76289,                0.83716,                0.59817,                 1.0568,                0.85113,                 1.6084,                0.01192,                0.69641,              0.0069918,                 10.675,               0.084405,             0.00089685,             0.00089685,             0.00089685,             0.00089685
                     72,                 1.1632,                 1.0071,                 1.6939,                0.81437,                0.72307,                0.83562,                0.59737,                 1.0596,                0.83533,                 1.6143,                0.01241,                0.70257,              0.0076223,                 10.675,               0.084405,             0.00088584,             0.00088584,             0.00088584,             0.00088584
                     73,                 1.1678,                 1.0021,                 1.6893,                0.79609,                0.76203,                0.83936,                0.59782,                 1.0662,                   0.86,                 1.6273,                0.01208,                0.70652,              0.0070435,                 10.675,               0.084405,             0.00087484,             0.00087484,             0.00087484,             0.00087484
